20.9,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,62.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.74084507243732,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.084330983229144,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,67.6,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.741476276846868,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.0957820684504,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.2,10/12/2018 17:28:26,61.8,10/12/2018 17:28:26,3.963157904775519,10/12/2018 17:28:26,12.223684310913086,10/12/2018 17:28:26,22.299999237060547,10/12/2018 17:28:26,77.9000015258789,10/12/2018 17:28:26,20.5,10/12/2018 17:28:26,58.599998474121094,10/12/2018 17:28:26
21.4,10/12/2018 17:28:31,63.4,10/12/2018 17:28:31,4.410256410256411,10/12/2018 17:28:31,13.535897572835287,10/12/2018 17:28:31,22.299999237060547,10/12/2018 17:28:31,77.9000015258789,10/12/2018 17:28:31,20.5,10/12/2018 17:28:31,58.599998474121094,10/12/2018 17:28:31
21.6,10/12/2018 17:28:37,61.8,10/12/2018 17:28:37,4.840000009536743,10/12/2018 17:28:37,14.742500114440919,10/12/2018 17:28:37,22.299999237060547,10/12/2018 17:28:37,77.9000015258789,10/12/2018 17:28:37,20.5,10/12/2018 17:28:37,58.599998474121094,10/12/2018 17:28:37
21.3,10/12/2018 17:28:42,57.3,10/12/2018 17:28:42,5.241463405330006,10/12/2018 17:28:42,15.780487897919446,10/12/2018 17:28:42,22.299999237060547,10/12/2018 17:28:42,77.9000015258789,10/12/2018 17:28:42,20.5,10/12/2018 17:28:42,57.29999923706055,10/12/2018 17:28:42
21.0,10/12/2018 17:28:46,58.0,10/12/2018 17:28:46,5.616666657584054,10/12/2018 17:28:46,16.78571437654041,10/12/2018 17:28:46,22.299999237060547,10/12/2018 17:28:46,77.9000015258789,10/12/2018 17:28:46,20.5,10/12/2018 17:28:46,57.29999923706055,10/12/2018 17:28:46
21.7,10/12/2018 17:28:52,57.1,10/12/2018 17:28:52,5.990697683289993,10/12/2018 17:28:52,17.723255867181823,10/12/2018 17:28:52,22.299999237060547,10/12/2018 17:28:52,77.9000015258789,10/12/2018 17:28:52,20.5,10/12/2018 17:28:52,57.099998474121094,10/12/2018 17:28:52
21.6,10/12/2018 17:28:57,54.6,10/12/2018 17:28:57,6.345454562794078,10/12/2018 17:28:57,18.561363653703168,10/12/2018 17:28:57,22.299999237060547,10/12/2018 17:28:57,77.9000015258789,10/12/2018 17:28:57,20.5,10/12/2018 17:28:57,54.599998474121094,10/12/2018 17:28:57
21.5,10/12/2018 17:29:01,54.7,10/12/2018 17:29:01,6.682222239176432,10/12/2018 17:29:01,19.364444478352866,10/12/2018 17:29:01,22.299999237060547,10/12/2018 17:29:01,77.9000015258789,10/12/2018 17:29:01,20.5,10/12/2018 17:29:01,54.599998474121094,10/12/2018 17:29:01
21.7,10/12/2018 17:29:07,57.2,10/12/2018 17:29:07,7.008695685345193,10/12/2018 17:29:07,20.18695657149605,10/12/2018 17:29:07,22.299999237060547,10/12/2018 17:29:07,77.9000015258789,10/12/2018 17:29:07,20.5,10/12/2018 17:29:07,54.599998474121094,10/12/2018 17:29:07
21.6,10/12/2018 17:29:11,57.2,10/12/2018 17:29:11,7.319148976752099,10/12/2018 17:29:11,20.9744681500374,10/12/2018 17:29:11,22.299999237060547,10/12/2018 17:29:11,77.9000015258789,10/12/2018 17:29:11,20.5,10/12/2018 17:29:11,54.599998474121094,10/12/2018 17:29:11
